group_field,group,n,accuracy,avg_retrieved_tokens_est,avg_stored_items_est,baseline,elapsed_sec
overall,overall,120,0.0,0.0,0.0,no_memory_lexical,0.006
probe_type,boundary,30,0.0,0.0,0.0,no_memory_lexical,0.006
probe_type,direct_use,30,0.0,0.0,0.0,no_memory_lexical,0.006
probe_type,exception,30,0.0,0.0,0.0,no_memory_lexical,0.006
probe_type,explicit_retrieval,30,0.0,0.0,0.0,no_memory_lexical,0.006
capability_group,counterevidence_exception,30,0.0,0.0,0.0,no_memory_lexical,0.006
capability_group,explicit_fact_preference_retrieval,30,0.0,0.0,0.0,no_memory_lexical,0.006
capability_group,habit_boundary_false_personalization,30,0.0,0.0,0.0,no_memory_lexical,0.006
capability_group,habit_direct_use,30,0.0,0.0,0.0,no_memory_lexical,0.006
habit_family,planning_defaults,120,0.0,0.0,0.0,no_memory_lexical,0.006
stress_variant,taskmaster_seeded_boundary,30,0.0,0.0,0.0,no_memory_lexical,0.006
stress_variant,taskmaster_seeded_direct,30,0.0,0.0,0.0,no_memory_lexical,0.006
stress_variant,taskmaster_seeded_exception,30,0.0,0.0,0.0,no_memory_lexical,0.006
stress_variant,taskmaster_seeded_explicit,30,0.0,0.0,0.0,no_memory_lexical,0.006
overall,overall,120,0.2333,1111.93,36.0,full_history_segment_retrieval,0.259
probe_type,boundary,30,0.3,1111.93,36.0,full_history_segment_retrieval,0.259
probe_type,direct_use,30,0.3333,1111.93,36.0,full_history_segment_retrieval,0.259
probe_type,exception,30,0.0667,1111.93,36.0,full_history_segment_retrieval,0.259
probe_type,explicit_retrieval,30,0.2333,1111.93,36.0,full_history_segment_retrieval,0.259
capability_group,counterevidence_exception,30,0.0667,1111.93,36.0,full_history_segment_retrieval,0.259
capability_group,explicit_fact_preference_retrieval,30,0.2333,1111.93,36.0,full_history_segment_retrieval,0.259
capability_group,habit_boundary_false_personalization,30,0.3,1111.93,36.0,full_history_segment_retrieval,0.259
capability_group,habit_direct_use,30,0.3333,1111.93,36.0,full_history_segment_retrieval,0.259
habit_family,planning_defaults,120,0.2333,1111.93,36.0,full_history_segment_retrieval,0.259
stress_variant,taskmaster_seeded_boundary,30,0.3,1111.93,36.0,full_history_segment_retrieval,0.259
stress_variant,taskmaster_seeded_direct,30,0.3333,1111.93,36.0,full_history_segment_retrieval,0.259
stress_variant,taskmaster_seeded_exception,30,0.0667,1111.93,36.0,full_history_segment_retrieval,0.259
stress_variant,taskmaster_seeded_explicit,30,0.2333,1111.93,36.0,full_history_segment_retrieval,0.259
overall,overall,120,0.55,203.13,5.0,mem0_like_fact_memory,0.118
probe_type,boundary,30,0.0,203.13,5.0,mem0_like_fact_memory,0.118
probe_type,direct_use,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
probe_type,exception,30,0.2,203.13,5.0,mem0_like_fact_memory,0.118
probe_type,explicit_retrieval,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
capability_group,counterevidence_exception,30,0.2,203.13,5.0,mem0_like_fact_memory,0.118
capability_group,explicit_fact_preference_retrieval,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
capability_group,habit_boundary_false_personalization,30,0.0,203.13,5.0,mem0_like_fact_memory,0.118
capability_group,habit_direct_use,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
habit_family,planning_defaults,120,0.55,203.13,5.0,mem0_like_fact_memory,0.118
stress_variant,taskmaster_seeded_boundary,30,0.0,203.13,5.0,mem0_like_fact_memory,0.118
stress_variant,taskmaster_seeded_direct,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
stress_variant,taskmaster_seeded_exception,30,0.2,203.13,5.0,mem0_like_fact_memory,0.118
stress_variant,taskmaster_seeded_explicit,30,1.0,203.13,5.0,mem0_like_fact_memory,0.118
overall,overall,120,0.55,203.13,5.0,zep_like_temporal_graph,0.121
probe_type,boundary,30,0.0,203.13,5.0,zep_like_temporal_graph,0.121
probe_type,direct_use,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
probe_type,exception,30,0.2,203.13,5.0,zep_like_temporal_graph,0.121
probe_type,explicit_retrieval,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
capability_group,counterevidence_exception,30,0.2,203.13,5.0,zep_like_temporal_graph,0.121
capability_group,explicit_fact_preference_retrieval,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
capability_group,habit_boundary_false_personalization,30,0.0,203.13,5.0,zep_like_temporal_graph,0.121
capability_group,habit_direct_use,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
habit_family,planning_defaults,120,0.55,203.13,5.0,zep_like_temporal_graph,0.121
stress_variant,taskmaster_seeded_boundary,30,0.0,203.13,5.0,zep_like_temporal_graph,0.121
stress_variant,taskmaster_seeded_direct,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
stress_variant,taskmaster_seeded_exception,30,0.2,203.13,5.0,zep_like_temporal_graph,0.121
stress_variant,taskmaster_seeded_explicit,30,1.0,203.13,5.0,zep_like_temporal_graph,0.121
overall,overall,120,0.3667,190.91,36.0,a_mem_like_note_linking,0.191
probe_type,boundary,30,0.4667,208.9,36.0,a_mem_like_note_linking,0.191
probe_type,direct_use,30,0.5,166.03,36.0,a_mem_like_note_linking,0.191
probe_type,exception,30,0.1667,211.8,36.0,a_mem_like_note_linking,0.191
probe_type,explicit_retrieval,30,0.3333,176.9,36.0,a_mem_like_note_linking,0.191
capability_group,counterevidence_exception,30,0.1667,211.8,36.0,a_mem_like_note_linking,0.191
capability_group,explicit_fact_preference_retrieval,30,0.3333,176.9,36.0,a_mem_like_note_linking,0.191
capability_group,habit_boundary_false_personalization,30,0.4667,208.9,36.0,a_mem_like_note_linking,0.191
capability_group,habit_direct_use,30,0.5,166.03,36.0,a_mem_like_note_linking,0.191
habit_family,planning_defaults,120,0.3667,190.91,36.0,a_mem_like_note_linking,0.191
stress_variant,taskmaster_seeded_boundary,30,0.4667,208.9,36.0,a_mem_like_note_linking,0.191
stress_variant,taskmaster_seeded_direct,30,0.5,166.03,36.0,a_mem_like_note_linking,0.191
stress_variant,taskmaster_seeded_exception,30,0.1667,211.8,36.0,a_mem_like_note_linking,0.191
stress_variant,taskmaster_seeded_explicit,30,0.3333,176.9,36.0,a_mem_like_note_linking,0.191
overall,overall,120,0.0667,189.75,80.0,secom_like_segment_memory,0.212
probe_type,boundary,30,0.0333,201.4,80.0,secom_like_segment_memory,0.212
probe_type,direct_use,30,0.2,161.1,80.0,secom_like_segment_memory,0.212
probe_type,exception,30,0.0333,188.23,80.0,secom_like_segment_memory,0.212
probe_type,explicit_retrieval,30,0.0,208.27,80.0,secom_like_segment_memory,0.212
capability_group,counterevidence_exception,30,0.0333,188.23,80.0,secom_like_segment_memory,0.212
capability_group,explicit_fact_preference_retrieval,30,0.0,208.27,80.0,secom_like_segment_memory,0.212
capability_group,habit_boundary_false_personalization,30,0.0333,201.4,80.0,secom_like_segment_memory,0.212
capability_group,habit_direct_use,30,0.2,161.1,80.0,secom_like_segment_memory,0.212
habit_family,planning_defaults,120,0.0667,189.75,80.0,secom_like_segment_memory,0.212
stress_variant,taskmaster_seeded_boundary,30,0.0333,201.4,80.0,secom_like_segment_memory,0.212
stress_variant,taskmaster_seeded_direct,30,0.2,161.1,80.0,secom_like_segment_memory,0.212
stress_variant,taskmaster_seeded_exception,30,0.0333,188.23,80.0,secom_like_segment_memory,0.212
