relative_path,size_bytes,sha256
README.md,1789,0aed1774d2630041904ae8c4d3ac3904bb80dc3878cf5a14861af710bb6e240a
RELEASE_NOTES.md,431,b86d84b27593c0442c26903ed12a80d3a591f692e038cab807adb0670fc0ab12
model_eval/example_full_prompt.txt,330247,f1d4ae840b2f065cacda33cf59583659d5ffe6c4adbf877eaf738636ee494a78
model_eval/predictions_template.jsonl,106496,54624c7b14af19a719ed5da894f0ae62fac7ac2971e1df7f5ab6b068f7a19fa9
private/persona_profiles.jsonl,419990,63990ab04e172a629050b8b7ff29d2567683bb52cbf020a14c3b4f21bdd73a6e
private/probe_evidence_chain_edges.csv,17993034,1e5841934c872499455153b8b950c1a2e94be36eaa105587b7755ceafcdca46c
private/probe_evidence_chains.jsonl,26892843,131895ce10498d0c50f33c22152c0b27120b1d687f066d354767a2f4c9fa9c5b
private/probe_key.jsonl,10058780,e64ca5a7a01a3416832394de7fa545b3fadc9c79697b61a3a9f8b0fb9ef82b56
private/probes_with_evidence.jsonl,7661481,b3f2aa436388d967d635277306121d5df827a2e664bd249394b8ea99d1b2ab8d
private/sessions_with_annotations.jsonl,59931854,516649e9d503c90ef997b97408036a9050f9316503d247e8e1824d8db7a58abe
public/lifelines.jsonl,22293693,32e4dbd8792e59e4d765001e9c2b9d9c7f46de52ff1ca2b796b3ca9749551bcc
public/probes.jsonl,6017417,a218a6668a53775622a8046312c7c986690032f3cc34e9d7678cc861c14ed541
reports/choice_shortcut_per_probe.csv,140298,632666c2bfb411395c41acab0fc7b58271c8d65db26e17d266476f18f0582112
reports/evidence_chain_audit.json,1468,ea2d482ce8d176bc191d87264f1337134cdaf7dbefac962f89e3657d53cca967
reports/evidence_chain_semantic_audit_per_probe.csv,927344,2ce9eb988feb8322f78ff59c58cfb1b6d59790833e6cff95a4b9f60d5f8353ee
reports/evidence_chain_semantic_audit_summary.json,1605,08be12f648f7822b3f966db424ccf5477b132208b5fa1949095c5bcb7d6b2404
reports/evidence_window_audit.csv,135432,0dbc8f1abd1e33903be4ba024fdae5e3156ddd0e69448f5f6c9b5d115a79ddd4
reports/full_prompt_o200k_token_counts_per_probe_calibrated.jsonl,385024,3359c8546c625a2beb93d9c1041df9d88d297d9ee26f0ef5153d900d14f0bcf8
reports/full_prompt_o200k_token_stats_calibrated.json,338,3aedce97b2905e3adb6547b8eab746ca96b29dc476cf5c0d0c4899441f4fc36d
reports/gold_predictions_smoke_test.jsonl,108544,89ad053b92cc97bd3c39667cf5cc472e9608f8bc171b5ce4073d9ebcecfc7572
reports/gold_smoke_test_v121/metrics.json,2155,a589f00ee09a5927e8e0df5bf3f9f3be55354d8ebb9f661c7e6e64c0400f1b15
reports/gold_smoke_test_v121/per_probe.csv,223533,8b7c8beac426f7968b1bf915b0a250d34f83b071cae4676d66aee8dd72027d52
reports/history_free_shortcut_audit.json,2704,924f46badf909a70dfe96786c95ebedf00e7c4bfbb8276ac814db3a7fcf2df3f
reports/inherited_v11/package_integrity_report_v11.json,1030,5d2eecf55d9fe63d5e82a18abd655443e0bc328cd799b158522cb794ccac0997
reports/inherited_v11/strict_validation_report_v11.json,368,218aa4f38ee457ff00262ec0a2d82e6d5e3ebe022272058740bec6e47fda2638
reports/language_repetition_comparison_v10_v11.json,5010,c0abfa943d4a14c53b3308d078c65f26ff4b206c4798f012cb26fb1592ca4b6c
reports/package_integrity_report.json,3611,5bf9732860b124cdefdb27dbec2f8da9e9a035713715b6197aa243488a337ea9
reports/probe_diversity_report.json,651,cd952fa5033628c2c5db7564386059883ae3f4b5eb4eb14bc84c93a2fdcf081e
reports/stratified_manual_review_bundle.txt,186077,c9581fbaf7caa1b9a753d6a50b59a9d9b03d53f099045e551b33542efdaa9fd9
reports/stratified_manual_review_summary.md,1190,f1630e6c5a27b771542780822f2198ede38cc4d4b47daf4df95fbb84fdaac7ac
reports/strict_validation_report_v121.json,570,e8aa49bab8ebcfa5302c46dd8abc956ed84b5b778b32f42f7839f062b0d4854e
reports/temporal_consistency_audit_v121.csv,256749,b43b4435412eb936dccd196c4fef2dd22e8498abf31564ff98b56e89b1924c7a
reports/temporal_consistency_summary_v121.json,401,fba1ba2719feb0e82c3e870ddd31a5bb89932db227adac7b5e6158d9100c29dc
reports/truncated_34k_char_window_audit.json,997,54458df88d4acabdcec5999646b67469a1656d5e59f75812df9d961f5c2d06fa
reports/truncated_34k_char_window_per_probe.csv,213224,6d3412567b905289bbd174f4bd38f003de45f473e159b797d9eca7bedb99e052
reports/truncated_34k_component_audit.json,411,44169aaf81bbe9827c930437655783e73f4051203023c0d95b5518995eacf357
reports/turn_repetition_audit_v11.json,100396,7b415cff1ccd8f216c32564bb35be90442caaa91c04215c413561ef44ef7bb3a
reports/turn_repetition_by_category_v11.csv,2015,11e5a9bc2a2682fed2085af763afc1876738573df26be1fe0cabaf5de03dd653
reports/v10_qwen3_8b_results_and_v11_response.md,1377,88a7725aa3675bc18b44074394e1d3071eef39b6058ced7e2a12e676140f03cb
reports/v11_probe_design_and_difficulty_report.md,3098,07527ee69e4e038c94c43b653185781525c16a5262eae97de2b668a6ccb16d38
reports/v121_quality_and_evidence_revalidation.md,6316,d9a69426fb9ee94b68bce62de66067d1a9c1384103d00315828d56770b792f37
reports/validation_report.json,570,e8aa49bab8ebcfa5302c46dd8abc956ed84b5b778b32f42f7839f062b0d4854e
reports/validation_report_v121.json,570,e8aa49bab8ebcfa5302c46dd8abc956ed84b5b778b32f42f7839f062b0d4854e
review/multidogo_finance_software_v121_review_queue_all.csv,32885162,dfc98123e71bb0694c0ff40041a83a955925a7d768fa666cda4462557edf120f
scripts/audit_evidence_chains_semantic.py,15802,52c7987f8596fd7786099d100a9c70cf8888bca516dacbb83014bb4f930f8cba
scripts/audit_language_repetition_compare.py,2184,f99f76be843e2aef594a31b4b45a3422f95c21c1cfba568769919a798530d687
scripts/audit_turn_repetition_v11.py,3225,973c8fdbc4178d69e97c17f2ff47c95e2bbc0ee9dc24f5b842897ddee95786fa
scripts/audit_v11_char_window.py,3885,f741c880324c01971aa3c610adb80f5ee5cecb60d97e1535f2c90c2592032cb1
scripts/build_v11_adversarial_memory.py,78174,34fe3d5ceb8c7df077c4ba0d2592be8f33de1d7f7d2f57dbc91a0ef9141a26b0
scripts/migrate_v11_to_v12.py,31950,ea49a8166ea23d876bb059989757dc8b7ca6f7882ce462835a72bea44206b867
scripts/score_predictions.py,1865,b116884a738c7a2ed38edbd6901bcbe54a8f3baeb347051e3c6fe52d637130f8
scripts/validate_v11_package.py,866,29a3a1d59afc4022414e6d939885fe13bccfec45f71238a0fd2df4352882df96
scripts/validate_v11_quick.py,866,29a3a1d59afc4022414e6d939885fe13bccfec45f71238a0fd2df4352882df96
scripts/validate_v11_strict.py,9372,4edb918e3568547c720d8c004b5f0184b1b795daa88a64346427fa8428ba7ab3
scripts/validate_v121_package.py,5375,4cccc0c55ce8e906f3bc8ed656eec440f90a873ca20cf534457b056f4b9e9108
scripts/validate_v12_package.py,5181,fb68608397200ec2bbf88497d415dd39c1a70672a025dc75af8dbb88b6e6d862
source/SOURCE_ATTRIBUTION.md,425,cf515b8d1d521d6eda52468f35a570cebc8630b3115cad2e39b57345b2c1d441
