review_id,public_probe_id,probe_id,user_id,split,probe_type,habit_family,template_id,stress_variant,query,choices_json,proposed_gold_choice_id,proposed_gold_action,evidence_preview_json,auto_validation_status,reviewer_decision,reviewer_notes
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2,food_v2_probe_f161cac013c5135d,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2,food_user_0000,dev,direct_use,content_constraints,raw_veg_cut_pattern,original_food_v2,I'm making a chopped salad with pepper and radish. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2__unseen_paraphrase,food_v2_probe_3f6c247afcba6604,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,I'm working on a chopped salad with pepper and radish. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2_explicit_retrieval,food_v2_probe_d57b05d0471abef2,food_user_0000_habit_00_raw_veg_cut_pattern_p00_direct_use__food_v2_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,raw_veg_cut_pattern,original_food_v2,"Thinking back to the user's earlier cooking chats, what did they prior want for a fresh bowl with cucumber and onion?","[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}]",A,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2,food_v2_probe_0a79a818d5bcd2e2,food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2,food_user_0000,dev,boundary,content_constraints,raw_veg_cut_pattern,original_food_v2,I'm making a crudite platter with cucumber and carrot. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",A,apply_boundary_calibrated_action,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2__unseen_paraphrase,food_v2_probe_7e107e2495cd6112,food_user_0000_habit_00_raw_veg_cut_pattern_p01_boundary__food_v2__unseen_paraphrase,food_user_0000,dev,boundary,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,I'm working on a crudite platter with cucumber and carrot. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",A,apply_boundary_calibrated_action,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2,food_v2_probe_5c716f95e5035427,food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2,food_user_0000,dev,exception,content_constraints,raw_veg_cut_pattern,original_food_v2,I'm making a make-ahead filling with cucumber and onion. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}]",A,apply_one_case_exception_without_updating_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2__unseen_paraphrase,food_v2_probe_e8ba4013b9a146eb,food_user_0000_habit_00_raw_veg_cut_pattern_p02_exception__food_v2__unseen_paraphrase,food_user_0000,dev,exception,content_constraints,raw_veg_cut_pattern,unseen_paraphrase,I'm working on a make-ahead filling with cucumber and onion. How should I cut the raw vegetables?,"[{""choice_id"": ""A"", ""text"": ""Cut the raw vegetables into thin half-moons and keep them in a shallow layer near the edge.""}, {""choice_id"": ""B"", ""text"": ""Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""choice_id"": ""C"", ""text"": ""Cut the raw vegetables into small uneven cubes and place each vegetable type in two separated patches.""}, {""choice_id"": ""D"", ""text"": ""Cut the raw vegetable add-ins into even rounds and scatter them across the full surface.""}]",A,apply_one_case_exception_without_updating_habit,"[{""session_id"": ""food_user_0000_s0000"", ""session_index"": 0, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Easiest Salad Dressing"", ""user"": ""For Easiest Salad Dressing, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Easiest Salad Dressing. First version: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side. Second ve...""}, {""session_id"": ""food_user_0000_s0059"", ""session_index"": 59, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Artichoke and Sun dried Tomato Chicken"", ""user"": ""I want the first one from that earlier pair for the raw vegetable cut on Artichoke and Sun dried Tomato Chicken."", ""assistant"": ""Got it. For Artichoke and Sun dried Tomato Chicken, I will use the first one from that earlier pair for the raw vegetable cut and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0062"", ""session_index"": 62, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Crustless Spinach Quiche"", ""user"": ""For Crustless Spinach Quiche, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Crustless Spinach Quiche, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}, {""session_id"": ""food_user_0000_s0069"", ""session_index"": 69, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Baked Spaghetti Squash Lasagna Style"", ""user"": ""For Baked Spaghetti Squash Lasagna Style, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Baked Spaghetti Squash Lasagna Style, I will do it this way: Cut the raw vegetable add-ins into short diagonal slivers and place them in a loose band across one side.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2,food_v2_probe_54d6d81e01041900,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2,food_user_0000,dev,direct_use,content_constraints,browning_distribution_style,original_food_v2,I'm making a pan-seared tofu dish with zucchini and mushrooms. How should I manage the browning?,"[{""choice_id"": ""A"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Move the food often for moderate color on all sides.""}, {""choice_id"": ""D"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""For Armadillo Eggs, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Armadillo Eggs. First version: Create one noticeably darker side and keep the remaining surfaces lighter. Second version: Move the food often for moderate...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""I want the first one from that earlier pair for the browning on Carrot Pineapple Cake I."", ""assistant"": ""Got it. For Carrot Pineapple Cake I, I will use the first one from that earlier pair for the browning and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Butterscotch Brownies in a Jar, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2__unseen_paraphrase,food_v2_probe_11daa5e8664c7e28,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2__unseen_paraphrase,food_user_0000,dev,direct_use,content_constraints,browning_distribution_style,unseen_paraphrase,I'm working on a pan-seared tofu dish with zucchini and mushrooms. How should I manage the browning?,"[{""choice_id"": ""A"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Move the food often for moderate color on all sides.""}, {""choice_id"": ""D"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}]",A,apply_split_decision_stable_habit,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""For Armadillo Eggs, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Armadillo Eggs. First version: Create one noticeably darker side and keep the remaining surfaces lighter. Second version: Move the food often for moderate...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""I want the first one from that earlier pair for the browning on Carrot Pineapple Cake I."", ""assistant"": ""Got it. For Carrot Pineapple Cake I, I will use the first one from that earlier pair for the browning and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Butterscotch Brownies in a Jar, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}]",pass,,
review_food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2_explicit_retrieval,food_v2_probe_69431c160acbfff5,food_user_0000_habit_01_browning_distribution_style_p00_direct_use__food_v2_explicit_retrieval,food_user_0000,dev,explicit_retrieval,content_constraints,browning_distribution_style,original_food_v2,"Thinking back to the user's earlier cooking chats, what did they prior want for a roasted potato side with mushrooms and tofu?","[{""choice_id"": ""A"", ""text"": ""Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""choice_id"": ""B"", ""text"": ""Chop the browned pieces smaller and mix the darker bits through the filling.""}, {""choice_id"": ""C"", ""text"": ""Move the food often for moderate color on all sides.""}, {""choice_id"": ""D"", ""text"": ""Aim for smaller browned freckles across many pieces rather than one dark side.""}]",A,explicit_fact_preference_retrieval,"[{""session_id"": ""food_user_0000_s0001"", ""session_index"": 1, ""signal_type"": ""candidate_shortlist"", ""recipe_title"": ""Armadillo Eggs"", ""user"": ""For Armadillo Eggs, I am not sure yet how I want this part to look."", ""assistant"": ""Both would be fine for Armadillo Eggs. First version: Create one noticeably darker side and keep the remaining surfaces lighter. Second version: Move the food often for moderate...""}, {""session_id"": ""food_user_0000_s0060"", ""session_index"": 60, ""signal_type"": ""ordinal_resolution"", ""recipe_title"": ""Carrot Pineapple Cake I"", ""user"": ""I want the first one from that earlier pair for the browning on Carrot Pineapple Cake I."", ""assistant"": ""Got it. For Carrot Pineapple Cake I, I will use the first one from that earlier pair for the browning and keep the rest of the recipe moving.""}, {""session_id"": ""food_user_0000_s0065"", ""session_index"": 65, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Bakers Secret Pie Crust"", ""user"": ""For Bakers Secret Pie Crust, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Bakers Secret Pie Crust, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}, {""session_id"": ""food_user_0000_s0074"", ""session_index"": 74, ""signal_type"": ""ratified_reuse"", ""recipe_title"": ""Butterscotch Brownies in a Jar"", ""user"": ""For Butterscotch Brownies in a Jar, can we do that same little handling we used last time?"", ""assistant"": ""Yes. For Butterscotch Brownies in a Jar, I will do it this way: Create one noticeably darker side and keep the remaining surfaces lighter.""}]",pass,,
